ID,Category,Series,Model,Name,Tsubaki_Code,Spec_pitch_mm,Spec_pitch_inch,Spec_strands,Spec_tensile_strength_kn,Spec_allowable_load_kn,Spec_weight_kg_per_m,Spec_material,Spec_temperature_range,Spec_surface_treatment,Features,Applications,Spec_lubrication,Spec_corrosion_resistance,Spec_strength_improvement,Spec_compatible_chain,Spec_tooth_count,Spec_pitch_diameter_mm,Spec_outside_diameter_mm,Spec_hub_type,Spec_hub_name,Spec_max_bore_mm,Spec_hardness,Spec_width_mm,Spec_roller_type,Spec_max_allowable_load_kn,Spec_tooth_profile,Spec_cord,Spec_max_speed_mps,Spec_reduction_ratio,Spec_input_power_kw,Spec_output_torque_nm,Spec_backlash_arcmin,Spec_efficiency_percent,Spec_rated_torque_nm,Spec_bore_range_mm,Spec_coupling_type,Spec_max_rpm,Spec_thrust_kn,Spec_stroke_mm,Spec_speed_mm_per_min,Spec_positioning_accuracy,Spec_height_mm,Spec_bend_radius_mm,Spec_material_name
TSK_0011,Drive Chain,RS Standard,RS80-1,ANSI RS80 Single Strand Roller Chain,RS80-1-G8,25.4,1,1.0,125.0,33.0,5.3,Carbon Steel,-20°C to 120°C,Standard,"G8 Technology, Patented Lube Groove, 33% Higher HP Rating","General Industrial, Manufacturing, Conveyors",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TSK_0012,Drive Chain,RS Standard,RS80-2,ANSI RS80 Double Strand Roller Chain,RS80-2-G8,25.4,1,2.0,212.5,56.1,10.6,Carbon Steel,-20°C to 120°C,Standard,"G8 Technology, Double Strength, Patented Lube Groove","Heavy Duty, High Power, Industrial Drives",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TSK_0013,Drive Chain,RS Standard,RS100-1,ANSI RS100 Single Strand Roller Chain,RS100-1-G8,31.75,1-1/4,1.0,195.3,50.7,8.81,Carbon Steel,-20°C to 120°C,Standard,"G8 Technology, Patented Lube Groove, 33% Higher HP Rating","General Industrial, Manufacturing, Conveyors",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TSK_0014,Drive Chain,RS Standard,RS100-2,ANSI RS100 Double Strand Roller Chain,RS100-2-G8,31.75,1-1/4,2.0,332.01,86.19,17.62,Carbon Steel,-20°C to 120°C,Standard,"G8 Technology, Double Strength, Patented Lube Groove","Heavy Duty, High Power, Industrial Drives",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TSK_0015,Drive Chain,RS Standard,RS120-1,ANSI RS120 Single Strand Roller Chain,RS120-1-G8,38.1,1-1/2,1.0,281.3,68.3,12.57,Carbon Steel,-20°C to 120°C,Standard,"G8 Technology, Patented Lube Groove, 33% Higher HP Rating","General Industrial, Manufacturing, Conveyors",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TSK_0016,Drive Chain,RS Standard,RS120-2,ANSI RS120 Double Strand Roller Chain,RS120-2-G8,38.1,1-1/2,2.0,478.21,116.10999999999999,25.14,Carbon Steel,-20°C to 120°C,Standard,"G8 Technology, Double Strength, Patented Lube Groove","Heavy Duty, High Power, Industrial Drives",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TSK_0017,Drive Chain,RS Standard,RS140-1,ANSI RS140 Single Strand Roller Chain,RS140-1-G8,44.45,1-3/4,1.0,382.8,90.4,17.0,Carbon Steel,-20°C to 120°C,Standard,"G8 Technology, Patented Lube Groove, 33% Higher HP Rating","General Industrial, Manufacturing, Conveyors",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TSK_0018,Drive Chain,RS Standard,RS140-2,ANSI RS140 Double Strand Roller Chain,RS140-2-G8,44.45,1-3/4,2.0,650.76,153.68,34.0,Carbon Steel,-20°C to 120°C,Standard,"G8 Technology, Double Strength, Patented Lube Groove","Heavy Duty, High Power, Industrial Drives",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TSK_0019,Drive Chain,RS Standard,RS160-1,ANSI RS160 Single Strand Roller Chain,RS160-1-G8,50.8,2,1.0,500.0,119.0,23.55,Carbon Steel,-20°C to 120°C,Standard,"G8 Technology, Patented Lube Groove, 33% Higher HP Rating","General Industrial, Manufacturing, Conveyors",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TSK_0020,Drive Chain,RS Standard,RS160-2,ANSI RS160 Double Strand Roller Chain,RS160-2-G8,50.8,2,2.0,850.0,202.29999999999998,47.1,Carbon Steel,-20°C to 120°C,Standard,"G8 Technology, Double Strength, Patented Lube Groove","Heavy Duty, High Power, Industrial Drives",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TSK_0021,Drive Chain,RS Standard,RS180-1,ANSI RS180 Single Strand Roller Chain,RS180-1-G8,57.15,2-1/4,1.0,632.8,136.7,31.0,Carbon Steel,-20°C to 120°C,Standard,"G8 Technology, Patented Lube Groove, 33% Higher HP Rating","General Industrial, Manufacturing, Conveyors",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TSK_0022,Drive Chain,RS Standard,RS180-2,ANSI RS180 Double Strand Roller Chain,RS180-2-G8,57.15,2-1/4,2.0,1075.76,232.39,62.0,Carbon Steel,-20°C to 120°C,Standard,"G8 Technology, Double Strength, Patented Lube Groove","Heavy Duty, High Power, Industrial Drives",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TSK_0023,Drive Chain,RS Standard,RS200-1,ANSI RS200 Single Strand Roller Chain,RS200-1-G8,63.5,2-1/2,1.0,781.3,160.9,40.14,Carbon Steel,-20°C to 120°C,Standard,"G8 Technology, Patented Lube Groove, 33% Higher HP Rating","General Industrial, Manufacturing, Conveyors",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TSK_0024,Drive Chain,RS Standard,RS200-2,ANSI RS200 Double Strand Roller Chain,RS200-2-G8,63.5,2-1/2,2.0,1328.2099999999998,273.53000000000003,80.28,Carbon Steel,-20°C to 120°C,Standard,"G8 Technology, Double Strength, Patented Lube Groove","Heavy Duty, High Power, Industrial Drives",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TSK_0025,Drive Chain,RS Standard,RS240-1,ANSI RS240 Single Strand Roller Chain,RS240-1-G8,76.2,3,1.0,1125.0,222.7,55.07,Carbon Steel,-20°C to 120°C,Standard,"G8 Technology, Patented Lube Groove, 33% Higher HP Rating","General Industrial, Manufacturing, Conveyors",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TSK_0026,Drive Chain,RS Standard,RS240-2,ANSI RS240 Double Strand Roller Chain,RS240-2-G8,76.2,3,2.0,1912.5,378.59,110.14,Carbon Steel,-20°C to 120°C,Standard,"G8 Technology, Double Strength, Patented Lube Groove","Heavy Duty, High Power, Industrial Drives",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TSK_0027,Drive Chain,LAMBDA,LM25-1,LAMBDA LM25 Self-Lubricating Chain,LM25-1-LAMBDA,6.35,,1.0,8.9,2.2,,Carbon Steel with Sintered Oil Bushing,-10°C to 150°C,Self-Lubricating,"Self-Lubricating, Maintenance Free, 30% Longer Life, Food Grade","Food Processing, Packaging, Clean Environments",NSF H1 Food Grade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TSK_0028,Drive Chain,LAMBDA,LM25-2,LAMBDA LM25 Double Strand Self-Lubricating Chain,LM25-2-LAMBDA,6.35,,2.0,15.13,3.74,,Carbon Steel with Sintered Oil Bushing,-10°C to 150°C,Self-Lubricating,"Self-Lubricating, Double Strength, Maintenance Free, Food Grade","Heavy Duty Food, High Power Clean, Industrial Packaging",NSF H1 Food Grade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TSK_0029,Drive Chain,LAMBDA,LM35-1,LAMBDA LM35 Self-Lubricating Chain,LM35-1-LAMBDA,9.525,,1.0,17.6,4.8,,Carbon Steel with Sintered Oil Bushing,-10°C to 150°C,Self-Lubricating,"Self-Lubricating, Maintenance Free, 30% Longer Life, Food Grade","Food Processing, Packaging, Clean Environments",NSF H1 Food Grade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TSK_0030,Drive Chain,LAMBDA,LM35-2,LAMBDA LM35 Double Strand Self-Lubricating Chain,LM35-2-LAMBDA,9.525,,2.0,29.92,8.16,,Carbon Steel with Sintered Oil Bushing,-10°C to 150°C,Self-Lubricating,"Self-Lubricating, Double Strength, Maintenance Free, Food Grade","Heavy Duty Food, High Power Clean, Industrial Packaging",NSF H1 Food Grade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TSK_0031,Drive Chain,LAMBDA,LM40-1,LAMBDA LM40 Self-Lubricating Chain,LM40-1-LAMBDA,12.7,,1.0,31.1,8.1,,Carbon Steel with Sintered Oil Bushing,-10°C to 150°C,Self-Lubricating,"Self-Lubricating, Maintenance Free, 30% Longer Life, Food Grade","Food Processing, Packaging, Clean Environments",NSF H1 Food Grade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TSK_0032,Drive Chain,LAMBDA,LM40-2,LAMBDA LM40 Double Strand Self-Lubricating Chain,LM40-2-LAMBDA,12.7,,2.0,52.870000000000005,13.77,,Carbon Steel with Sintered Oil Bushing,-10°C to 150°C,Self-Lubricating,"Self-Lubricating, Double Strength, Maintenance Free, Food Grade","Heavy Duty Food, High Power Clean, Industrial Packaging",NSF H1 Food Grade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TSK_0033,Drive Chain,LAMBDA,LM50-1,LAMBDA LM50 Self-Lubricating Chain,LM50-1-LAMBDA,15.875,,1.0,48.9,14.3,,Carbon Steel with Sintered Oil Bushing,-10°C to 150°C,Self-Lubricating,"Self-Lubricating, Maintenance Free, 30% Longer Life, Food Grade","Food Processing, Packaging, Clean Environments",NSF H1 Food Grade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TSK_0034,Drive Chain,LAMBDA,LM50-2,LAMBDA LM50 Double Strand Self-Lubricating Chain,LM50-2-LAMBDA,15.875,,2.0,83.13,24.310000000000002,,Carbon Steel with Sintered Oil Bushing,-10°C to 150°C,Self-Lubricating,"Self-Lubricating, Double Strength, Maintenance Free, Food Grade","Heavy Duty Food, High Power Clean, Industrial Packaging",NSF H1 Food Grade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TSK_0035,Drive Chain,LAMBDA,LM60-1,LAMBDA LM60 Self-Lubricating Chain,LM60-1-LAMBDA,19.05,,1.0,70.1,19.8,,Carbon Steel with Sintered Oil Bushing,-10°C to 150°C,Self-Lubricating,"Self-Lubricating, Maintenance Free, 30% Longer Life, Food Grade","Food Processing, Packaging, Clean Environments",NSF H1 Food Grade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TSK_0036,Drive Chain,LAMBDA,LM60-2,LAMBDA LM60 Double Strand Self-Lubricating Chain,LM60-2-LAMBDA,19.05,,2.0,119.16999999999999,33.660000000000004,,Carbon Steel with Sintered Oil Bushing,-10°C to 150°C,Self-Lubricating,"Self-Lubricating, Double Strength, Maintenance Free, Food Grade","Heavy Duty Food, High Power Clean, Industrial Packaging",NSF H1 Food Grade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TSK_0037,Drive Chain,LAMBDA,LM80-1,LAMBDA LM80 Self-Lubricating Chain,LM80-1-LAMBDA,25.4,,1.0,125.0,33.0,,Carbon Steel with Sintered Oil Bushing,-10°C to 150°C,Self-Lubricating,"Self-Lubricating, Maintenance Free, 30% Longer Life, Food Grade","Food Processing, Packaging, Clean Environments",NSF H1 Food Grade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TSK_0038,Drive Chain,LAMBDA,LM80-2,LAMBDA LM80 Double Strand Self-Lubricating Chain,LM80-2-LAMBDA,25.4,,2.0,212.5,56.1,,Carbon Steel with Sintered Oil Bushing,-10°C to 150°C,Self-Lubricating,"Self-Lubricating, Double Strength, Maintenance Free, Food Grade","Heavy Duty Food, High Power Clean, Industrial Packaging",NSF H1 Food Grade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TSK_0039,Drive Chain,LAMBDA,LM100-1,LAMBDA LM100 Self-Lubricating Chain,LM100-1-LAMBDA,31.75,,1.0,195.3,50.7,,Carbon Steel with Sintered Oil Bushing,-10°C to 150°C,Self-Lubricating,"Self-Lubricating, Maintenance Free, 30% Longer Life, Food Grade","Food Processing, Packaging, Clean Environments",NSF H1 Food Grade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TSK_0040,Drive Chain,LAMBDA,LM100-2,LAMBDA LM100 Double Strand Self-Lubricating Chain,LM100-2-LAMBDA,31.75,,2.0,332.01,86.19,,Carbon Steel with Sintered Oil Bushing,-10°C to 150°C,Self-Lubricating,"Self-Lubricating, Double Strength, Maintenance Free, Food Grade","Heavy Duty Food, High Power Clean, Industrial Packaging",NSF H1 Food Grade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TSK_0041,Drive Chain,LAMBDA,LM120-1,LAMBDA LM120 Self-Lubricating Chain,LM120-1-LAMBDA,38.1,,1.0,281.3,68.3,,Carbon Steel with Sintered Oil Bushing,-10°C to 150°C,Self-Lubricating,"Self-Lubricating, Maintenance Free, 30% Longer Life, Food Grade","Food Processing, Packaging, Clean Environments",NSF H1 Food Grade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TSK_0042,Drive Chain,LAMBDA,LM120-2,LAMBDA LM120 Double Strand Self-Lubricating Chain,LM120-2-LAMBDA,38.1,,2.0,478.21,116.10999999999999,,Carbon Steel with Sintered Oil Bushing,-10°C to 150°C,Self-Lubricating,"Self-Lubricating, Double Strength, Maintenance Free, Food Grade","Heavy Duty Food, High Power Clean, Industrial Packaging",NSF H1 Food Grade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TSK_0043,Drive Chain,LAMBDA,LM140-1,LAMBDA LM140 Self-Lubricating Chain,LM140-1-LAMBDA,44.45,,1.0,382.8,90.4,,Carbon Steel with Sintered Oil Bushing,-10°C to 150°C,Self-Lubricating,"Self-Lubricating, Maintenance Free, 30% Longer Life, Food Grade","Food Processing, Packaging, Clean Environments",NSF H1 Food Grade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TSK_0044,Drive Chain,LAMBDA,LM140-2,LAMBDA LM140 Double Strand Self-Lubricating Chain,LM140-2-LAMBDA,44.45,,2.0,650.76,153.68,,Carbon Steel with Sintered Oil Bushing,-10°C to 150°C,Self-Lubricating,"Self-Lubricating, Double Strength, Maintenance Free, Food Grade","Heavy Duty Food, High Power Clean, Industrial Packaging",NSF H1 Food Grade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TSK_0045,Drive Chain,LAMBDA,LM160-1,LAMBDA LM160 Self-Lubricating Chain,LM160-1-LAMBDA,50.8,,1.0,500.0,119.0,,Carbon Steel with Sintered Oil Bushing,-10°C to 150°C,Self-Lubricating,"Self-Lubricating, Maintenance Free, 30% Longer Life, Food Grade","Food Processing, Packaging, Clean Environments",NSF H1 Food Grade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TSK_0046,Drive Chain,LAMBDA,LM160-2,LAMBDA LM160 Double Strand Self-Lubricating Chain,LM160-2-LAMBDA,50.8,,2.0,850.0,202.29999999999998,,Carbon Steel with Sintered Oil Bushing,-10°C to 150°C,Self-Lubricating,"Self-Lubricating, Double Strength, Maintenance Free, Food Grade","Heavy Duty Food, High Power Clean, Industrial Packaging",NSF H1 Food Grade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TSK_0047,Drive Chain,NEPTUNE,NP50-1,NEPTUNE NP50 Corrosion Resistant Chain,NP50-1-NEPTUNE,15.875,,1.0,48.9,14.3,,Multi-Layer Plated Steel,-40°C to 200°C,Multi-Layer Plating,"Corrosion Resistant, 3x Longer Life, RoHS Compliant, Extreme Environment","Marine, Chemical Plant, Outdoor, Corrosive Environment",,1000 Hour Salt Spray Test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TSK_0048,Drive Chain,NEPTUNE,NP50-2,NEPTUNE NP50 Double Strand Corrosion Resistant Chain,NP50-2-NEPTUNE,15.875,,2.0,83.13,24.310000000000002,,Multi-Layer Plated Steel,-40°C to 200°C,Multi-Layer Plating,"Corrosion Resistant, Double Strength, 3x Longer Life, RoHS Compliant","Heavy Marine, High Power Chemical, Extreme Outdoor",,1000 Hour Salt Spray Test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TSK_0049,Drive Chain,NEPTUNE,NP60-1,NEPTUNE NP60 Corrosion Resistant Chain,NP60-1-NEPTUNE,19.05,,1.0,70.1,19.8,,Multi-Layer Plated Steel,-40°C to 200°C,Multi-Layer Plating,"Corrosion Resistant, 3x Longer Life, RoHS Compliant, Extreme Environment","Marine, Chemical Plant, Outdoor, Corrosive Environment",,1000 Hour Salt Spray Test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TSK_0050,Drive Chain,NEPTUNE,NP60-2,NEPTUNE NP60 Double Strand Corrosion Resistant Chain,NP60-2-NEPTUNE,19.05,,2.0,119.16999999999999,33.660000000000004,,Multi-Layer Plated Steel,-40°C to 200°C,Multi-Layer Plating,"Corrosion Resistant, Double Strength, 3x Longer Life, RoHS Compliant","Heavy Marine, High Power Chemical, Extreme Outdoor",,1000 Hour Salt Spray Test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TSK_0051,Drive Chain,NEPTUNE,NP80-1,NEPTUNE NP80 Corrosion Resistant Chain,NP80-1-NEPTUNE,25.4,,1.0,125.0,33.0,,Multi-Layer Plated Steel,-40°C to 200°C,Multi-Layer Plating,"Corrosion Resistant, 3x Longer Life, RoHS Compliant, Extreme Environment","Marine, Chemical Plant, Outdoor, Corrosive Environment",,1000 Hour Salt Spray Test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TSK_0052,Drive Chain,NEPTUNE,NP80-2,NEPTUNE NP80 Double Strand Corrosion Resistant Chain,NP80-2-NEPTUNE,25.4,,2.0,212.5,56.1,,Multi-Layer Plated Steel,-40°C to 200°C,Multi-Layer Plating,"Corrosion Resistant, Double Strength, 3x Longer Life, RoHS Compliant","Heavy Marine, High Power Chemical, Extreme Outdoor",,1000 Hour Salt Spray Test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TSK_0053,Drive Chain,NEPTUNE,NP100-1,NEPTUNE NP100 Corrosion Resistant Chain,NP100-1-NEPTUNE,31.75,,1.0,195.3,50.7,,Multi-Layer Plated Steel,-40°C to 200°C,Multi-Layer Plating,"Corrosion Resistant, 3x Longer Life, RoHS Compliant, Extreme Environment","Marine, Chemical Plant, Outdoor, Corrosive Environment",,1000 Hour Salt Spray Test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TSK_0054,Drive Chain,NEPTUNE,NP100-2,NEPTUNE NP100 Double Strand Corrosion Resistant Chain,NP100-2-NEPTUNE,31.75,,2.0,332.01,86.19,,Multi-Layer Plated Steel,-40°C to 200°C,Multi-Layer Plating,"Corrosion Resistant, Double Strength, 3x Longer Life, RoHS Compliant","Heavy Marine, High Power Chemical, Extreme Outdoor",,1000 Hour Salt Spray Test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TSK_0055,Drive Chain,NEPTUNE,NP120-1,NEPTUNE NP120 Corrosion Resistant Chain,NP120-1-NEPTUNE,38.1,,1.0,281.3,68.3,,Multi-Layer Plated Steel,-40°C to 200°C,Multi-Layer Plating,"Corrosion Resistant, 3x Longer Life, RoHS Compliant, Extreme Environment","Marine, Chemical Plant, Outdoor, Corrosive Environment",,1000 Hour Salt Spray Test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TSK_0056,Drive Chain,NEPTUNE,NP120-2,NEPTUNE NP120 Double Strand Corrosion Resistant Chain,NP120-2-NEPTUNE,38.1,,2.0,478.21,116.10999999999999,,Multi-Layer Plated Steel,-40°C to 200°C,Multi-Layer Plating,"Corrosion Resistant, Double Strength, 3x Longer Life, RoHS Compliant","Heavy Marine, High Power Chemical, Extreme Outdoor",,1000 Hour Salt Spray Test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TSK_0057,Drive Chain,NEPTUNE,NP140-1,NEPTUNE NP140 Corrosion Resistant Chain,NP140-1-NEPTUNE,44.45,,1.0,382.8,90.4,,Multi-Layer Plated Steel,-40°C to 200°C,Multi-Layer Plating,"Corrosion Resistant, 3x Longer Life, RoHS Compliant, Extreme Environment","Marine, Chemical Plant, Outdoor, Corrosive Environment",,1000 Hour Salt Spray Test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TSK_0058,Drive Chain,NEPTUNE,NP140-2,NEPTUNE NP140 Double Strand Corrosion Resistant Chain,NP140-2-NEPTUNE,44.45,,2.0,650.76,153.68,,Multi-Layer Plated Steel,-40°C to 200°C,Multi-Layer Plating,"Corrosion Resistant, Double Strength, 3x Longer Life, RoHS Compliant","Heavy Marine, High Power Chemical, Extreme Outdoor",,1000 Hour Salt Spray Test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TSK_0059,Drive Chain,NEPTUNE,NP160-1,NEPTUNE NP160 Corrosion Resistant Chain,NP160-1-NEPTUNE,50.8,,1.0,500.0,119.0,,Multi-Layer Plated Steel,-40°C to 200°C,Multi-Layer Plating,"Corrosion Resistant, 3x Longer Life, RoHS Compliant, Extreme Environment","Marine, Chemical Plant, Outdoor, Corrosive Environment",,1000 Hour Salt Spray Test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TSK_0060,Drive Chain,NEPTUNE,NP160-2,NEPTUNE NP160 Double Strand Corrosion Resistant Chain,NP160-2-NEPTUNE,50.8,,2.0,850.0,202.29999999999998,,Multi-Layer Plated Steel,-40°C to 200°C,Multi-Layer Plating,"Corrosion Resistant, Double Strength, 3x Longer Life, RoHS Compliant","Heavy Marine, High Power Chemical, Extreme Outdoor",,1000 Hour Salt Spray Test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TSK_0061,Drive Chain,NEPTUNE,NP200-1,NEPTUNE NP200 Corrosion Resistant Chain,NP200-1-NEPTUNE,63.5,,1.0,781.3,160.9,,Multi-Layer Plated Steel,-40°C to 200°C,Multi-Layer Plating,"Corrosion Resistant, 3x Longer Life, RoHS Compliant, Extreme Environment","Marine, Chemical Plant, Outdoor, Corrosive Environment",,1000 Hour Salt Spray Test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TSK_0062,Drive Chain,NEPTUNE,NP200-2,NEPTUNE NP200 Double Strand Corrosion Resistant Chain,NP200-2-NEPTUNE,63.5,,2.0,1328.2099999999998,273.53000000000003,,Multi-Layer Plated Steel,-40°C to 200°C,Multi-Layer Plating,"Corrosion Resistant, Double Strength, 3x Longer Life, RoHS Compliant","Heavy Marine, High Power Chemical, Extreme Outdoor",,1000 Hour Salt Spray Test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
